video_id	video_title
hUpjPQWKDpM	Best VGM 355 - Breath of Fire V - Industrial Area
ENStkWiosK4	Best VGM 356 - Kid Icarus - Underworld
WR_AncWskUk	Best VGM 357 - Metal Saga - Battle with the Wanted
0rz-SlHMtkE	Best VGM 359 - Panzer Dragoon - Flight
f6QCNRRA1x0	Best VGM 360 - Legend of Mana - To the Sea
_H42_mzLMz0	Best VGM 361 - Dragon Quest IV - Wagon Wheel's March
4MnzJjEuOUs	Best VGM 362 - Atelier Iris 3: Grand Phantasm - Thunderclap
X_PszodM17s	Best VGM 364 - ICO - Castle in the Mist
-ohvCzPIBvM	Best VGM 365 - Dark Cloud - Matataki Village
FKqTtZXIid4	Best VGM 366 - Super Mario Galaxy - Good Egg Galaxy
ELyz549E_f4	Best VGM 367 - Mother 3 - King Porky's Theme
zqgfOTBPv3E	Best VGM 368 - Metroid Prime 3 - Rundas Battle
ilOYzbGwX7M	Best VGM 369 - Deja Vu - Main Theme
m57kb5d3wZ4	Best VGM 370 - Chrono Cross - Voyage (Home World)
HNPqugUrdEM	Best VGM 371 - Castlevania: Lament of Innocence - House of Sacred Remains
BDg0P_L57SU	Best VGM 372 - Lagoon - Hobbit Valley
9BgCJL71YIY	Best VGM 373 - Wild Arms 2 - Field (The Barren Lands)
LYiwMd5y78E	Best VGM 375 - Shadow Hearts II : Covenant - The 3 Karma (Final Battle)
yDMN8XKs1z0	Best VGM 376 - Sonic 3D Blast (Saturn) - Rusty Ruins Zone ~ Act 2
